code_name,barrier,Ir_Partial charge,Ir_Atom SASA,Ir_Buried volume,Ir_Atom H bond H2O,Ir_Fukui+,Ir_Fukui-,Ir_Atom electrophilicity,Ir_Fukui_rad,Ir_Fukui dual,Ir_Atom dipole moment,Ir_Coord. numbers,Ir_Atom Polarizability,Ir_Atom FOD,Ir_Atom dispersion,Ir_Pyramidalization,Ir_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Polarizability,Total FOD,Hardness,Softness,Dispersion area,Dispersion volume,Chem. potential,Electrophilicity,Electrofugality,Nucleofugality,S0-T1 gap
ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-co_1_dft-sh_1_smi1_1_s_1,7.8,-0.1248,2.757,74.5238,0,0.0052,0.1301,0.0183,0.0677,-0.1249,0.6313,3.6162,32.2473,0.3133,38.0494,0.0133,0.2161,7.5434,-6.8933,0.65,6.1421,0.2709,1.5759,638.2018,-9.6593,-1.8363,-7.612,331.9958,0.9366,5.8711,0.1703,479.3568,502.6476,-3.2065,0.8756,7.0177,0.6047,55.7133
ir_tbp_1_dft-asme3_1_dft-iz_1_dft-co_1_dft-oh_1_smi1_1_s_1,17.9,0.0996,18.2404,64.41,0,0.0957,0.2033,0.0412,0.1493,-0.1076,1.1703,3.4494,31.9342,0.2513,31.665,0.0059,0.1291,7.3677,-6.0393,1.3284,6.0984,-1.4268,5.7245,429.0862,-16.1754,-4.363,-7.0207,171.5013,0.5279,7.5253,0.1329,300.5029,286.32,-2.3358,0.3625,6.461,1.7893,65.0236
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-co_1_dft-cch_1_smi1_1_s_1,8.2,-0.0842,0.1972,78.0816,0,0.1199,0.1593,0.0377,0.1395,-0.0394,0.2026,3.7173,32.8639,0.2738,41.003,0.0209,2.2717,8.5398,-7.2782,1.2616,5.7297,-1.6017,2.8493,528.3049,-11.3011,-1.8425,-6.5305,239.8832,0.5704,7.3314,0.1364,402.6486,409.5172,-2.064,0.2906,6.0203,1.8922,61.7407
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,7.7,0.0988,0.3801,77.5284,0,0.067,0.1586,0.035,0.113,-0.0916,0.7382,3.3314,32.3496,0.3019,35.3721,0.0031,0.2163,8.8122,-6.7921,2.0201,6.1456,-0.9751,3.7826,448.5724,-20.0731,-2.6311,-7.2714,184.6655,0.7561,7.1208,0.1404,321.8145,324.2846,-2.5852,0.4693,6.6149,1.4445,44.4715
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-hicn_1_fluoride_1_smi1_1_s_1,16.8,0.3089,3.3265,71.8354,0,0.1433,0.186,0.0336,0.1646,-0.0427,1.15,3.2394,31.8512,0.2829,33.3247,0.0029,0.0818,8.0646,-5.9183,2.1463,5.614,-2.2989,3.8382,447.5623,-24.4268,-4.1096,-6.2457,175.8355,0.5542,7.9129,0.1264,324.8688,321.5698,-1.6576,0.1736,5.7876,2.4725,60.4228
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,17,0.2024,2.4466,72.0925,0,0.0504,0.1402,0.0371,0.0953,-0.0898,0.7363,3.5774,32.2531,0.4314,35.1153,0.0454,1.2079,5.9373,-6.5957,-0.6584,6.1101,0.082,7.2155,493.0158,-26.212,-4.5175,-7.839,203.2101,1.0412,6.0281,0.1659,353.3245,340.6628,-3.0961,0.7951,6.9052,0.7131,41.8997
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-co_1_dft-cch_1_smi1_1_s_1,14.3,0.1085,0.3662,73.7284,0,0.0346,0.1525,0.0323,0.0935,-0.1179,0.5391,3.6395,32.6737,0.4421,36.0104,0.038,0.8618,5.9504,-6.687,-0.7365,6.0237,0.0409,3.9941,489.3484,-13.7678,-1.7647,-7.6974,199.2972,1.1029,5.9828,0.1672,345.7542,331.3943,-3.0323,0.7685,6.7922,0.7275,40.778
ir_tbp_1_dft-phos_1_dft-phos_1_dft-co_1_dft-itcn_1_smi1_1_s_1,6.6,-0.0984,25.9336,64.0549,0,0.062,0.074,0.048,0.068,-0.012,0.4377,3.719,32.323,0.3075,32.8343,0.0016,0.2932,6.9172,-7.8142,-0.897,6.7531,1.3747,4.9668,505.7012,-9.06,-1.16,-8.6678,239.9107,1.0174,5.3784,0.186,348.956,348.9442,-4.0639,1.5354,8.2885,0.1606,43.7346
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,15.2,0.1494,1.6205,72.2899,0,0.0322,0.132,0.0265,0.0821,-0.0998,0.7012,3.5651,32.4313,0.3764,36.276,0.0207,0.6064,6.5124,-6.2064,0.306,5.4424,-0.3489,8.2683,549.8926,-20.8921,-1.8418,-7.3438,234.4263,0.9523,5.7913,0.1727,401.6393,390.085,-2.5468,0.5602,6.0026,0.909,50.0303
ir_tbp_1_dft-nme3_1_dft-phos_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,9.6,0.0151,12.8581,71.8505,0,0.059,0.1123,0.0367,0.086,-0.0533,1.084,3.509,32.4847,0.405,32.6082,0.0316,5.7608,7.1655,-6.7642,0.4014,6.1602,0.0382,6.7473,487.3325,-21,-2.2837,-7.775,207.5856,0.9306,6.122,0.1633,350.4553,347.3228,-3.0992,0.7845,6.9447,0.7463,45.0724
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_fluoride_1_smi1_1_s_1,14.2,-0.0688,6.1387,71.9771,0,0.0121,0.1448,0.022,0.0783,-0.1327,0.8081,3.5645,31.9436,0.3399,39.576,0.0267,0.6727,7.2522,-6.6164,0.6359,5.6695,-0.2378,4.0079,684.7063,-15.0746,-2.0852,-7.1256,352.1966,0.7978,5.9074,0.1693,536.853,548.9949,-2.7158,0.6243,6.2938,0.8621,60.0564
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,18.1,0.1646,1.1232,74.3624,0,0.1207,0.1768,0.037,0.1487,-0.0562,0.7725,3.3506,32.2637,0.2864,35.6946,0.0153,0.7408,8.1129,-6.501,1.6119,5.7957,-1.8158,6.813,474.4826,-24.7531,-4.2211,-6.541,193.0974,0.569,7.6115,0.1314,342.6506,337.2537,-1.99,0.2602,6.0558,2.0759,62.5786
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-co_1_dft-icn_1_smi1_1_s_1,22,0.2497,10.4199,67.45,0,0.031,0.133,0.0329,0.082,-0.102,0.5915,3.549,31.971,0.4378,31.5008,0.0578,1.8072,5.9676,-7.202,-1.2344,7.1113,1.5661,5.2278,460.8981,-17.67,-2.48,-8.9234,183.6672,1.3136,5.5452,0.1803,302.546,289.0983,-4.3387,1.6974,8.8087,0.1313,37.57
ir_tbp_1_dft-iz_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,10.1,0.0075,4.2095,72.3492,0,0.0372,0.1511,0.0199,0.0942,-0.1139,0.5143,3.559,32.5074,0.3247,35.0085,0.0122,0.1714,7.3492,-5.3634,1.9857,4.9364,-1.6542,3.7209,501.9769,-20.7537,-2.9471,-6.3093,207.8012,0.7778,6.5906,0.1517,362.5435,349.6467,-1.6411,0.2043,5.1408,1.8585,57.2964
ir_tbp_1_dft-iz_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,11.5,0.0563,19.8598,66.02,0,0.053,0.177,0.035,0.115,-0.124,0.3179,3.444,32.088,0.2776,30.7199,0.0015,0.0387,7.0694,-5.5112,1.5582,6.2821,-0.8262,1.9535,405.181,-22.96,-5.14,-7.1648,165.8132,0.6804,7.1083,0.1407,268.5448,261.1591,-2.7279,0.5235,6.8056,1.3497,62.03
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,8.2,-0.1965,14.2698,69.92,0,0.064,0.128,0.0394,0.096,-0.064,0.5445,3.89,32.568,0.3423,34.9114,0.1182,1.8647,7.2902,-7.1896,0.1006,6.1665,-0.0552,7.4286,512.3404,-24.85,-2.91,-7.7102,227.2463,0.8357,6.2217,0.1607,374.1861,366.0905,-3.0556,0.7504,6.9169,0.8056,48.19
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_bromide_1_smi1_1_s_1,7.1,-0.1704,0.1163,79.5823,0,0.0135,0.1225,0.02,0.0681,-0.109,0.2329,3.6601,32.4281,0.3485,44.8898,0.032,0.4191,7.495,-6.7381,0.7569,5.6527,-0.1439,4.5292,680.7589,-19.7896,-3.5744,-7.1982,363.2344,0.9247,5.7966,0.1725,535.3684,560.6662,-2.7544,0.6544,6.3072,0.7983,54.9806
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,7.1,-0.038,6.0099,72.11,0,0.025,0.15,0.0264,0.087,-0.125,0.8041,3.628,32.401,0.3526,34.3062,0.0201,3.415,6.913,-6.7449,0.1681,5.7073,-0.3264,6.6921,497.0502,-29.33,-3.25,-7.4034,206.5616,0.9079,6.0337,0.1657,360.8933,347.031,-2.6905,0.5998,6.3071,0.9262,40.95
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,10.9,-0.0858,2.1959,74.5128,0,0.0127,0.0915,0.0171,0.0519,-0.0788,0.81,3.5987,31.9899,0.3486,38.576,0.0164,0.4984,6.2643,-7.3835,-1.1192,6.5817,0.9489,1.9698,646.0862,-13.3425,-1.4991,-8.4627,337.103,1.0667,5.6327,0.1775,482.4572,503.0731,-3.7653,1.2585,7.8402,0.3096,44.8347
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,9.2,0.1191,3.96,69.49,0,0.026,0.155,0.0314,0.09,-0.129,0.1241,3.624,32.379,0.5639,32.5097,0.0011,0.0185,5.5069,-6.4916,-0.9847,6.4352,1.1192,9.1898,457.491,-25.95,-4.18,-8.2733,183.0909,1.5146,5.316,0.1881,302.8688,286.5954,-3.7772,1.3419,7.7771,0.2227,31.68
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,6.9,-0.0621,9.2549,70.355,0,0.041,0.175,0.0309,0.108,-0.134,0.8377,3.5825,32.3305,0.3193,33.9723,0.0059,2.9937,7.9687,-6.4921,1.4766,5.8563,-0.8606,5.9231,491.9577,-28.85,-3.7,-7.1445,193.6427,0.7435,6.7169,0.1489,355.0211,339.1847,-2.4978,0.4644,6.3207,1.3251,47.7599
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,11.4,0.0405,0,77.7883,0,0.0452,0.165,0.0177,0.105,-0.1198,0.0345,3.6643,33.1235,0.3546,40.8931,0.0162,1.2828,8.2394,-5.9644,2.275,4.6324,-2.0893,4.1165,556.283,-14.1648,-1.6536,-5.7556,230.6182,0.7622,6.7217,0.1488,414.6878,397.9069,-1.2716,0.1203,4.7527,2.2095,57.9648
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-iacn_1_bromide_1_smi1_1_s_1,9.5,-0.3467,12.6227,68.0253,0,0.026,0.113,0.0223,0.07,-0.087,0.111,3.7111,32.2438,0.2834,36.5522,0.0003,0.0034,7.3186,-6.6476,0.671,6.0819,-0.3963,6.5879,519.1465,-13.98,-2.2778,-7.5651,231.5999,0.7,6.4782,0.1543,375.7752,366.8186,-2.8428,0.6237,6.7056,1.02,60.2303
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,9.9,0.0997,18.3613,65.9809,0,0.0578,0.1836,0.034,0.121,-0.1258,0.0901,3.5417,32.5204,0.4136,30.4308,0.0355,1.8063,7.2738,-5.4764,1.7974,5.5005,-1.035,7.4629,456.5084,-24.8749,-3.4861,-6.7603,173.3395,0.9164,6.5356,0.153,307.3923,289.8445,-2.2328,0.3814,5.8819,1.4164,51.42
ir_tbp_1_dft-pet3_1_dft-pph3_1_dft-co_1_bromide_1_smi1_1_s_1,5.5,-0.3052,0.3997,79.7876,0,0.0253,0.1021,0.0228,0.0634,-0.0768,0.1853,3.7197,32.3376,0.2668,44.4837,0.0323,0.4779,8.1153,-7.8112,0.3041,6.3105,0.1973,1.9061,696.6413,-10.2623,-1.7351,-7.697,384.795,0.7278,6.1132,0.1636,552.032,599.1855,-3.2539,0.866,7.1765,0.6687,60.3768
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,8,-0.0802,16.9984,67.869,0,0.113,0.1803,0.0416,0.1467,-0.0673,0.6457,3.6376,32.575,0.3114,32.7883,0.0206,1.472,7.9154,-6.3852,1.5303,5.5096,-1.3331,8.4206,464.5524,-23.8162,-3.3499,-6.7059,192.2721,0.6655,6.8427,0.1461,333.8894,319.8354,-2.0883,0.3187,5.8282,1.6517,56.5219
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,12.6,0.077,14.4098,67.74,0,0.038,0.14,0.0348,0.089,-0.102,0.2809,3.504,31.997,0.3564,31.6284,0.018,0.401,5.4074,-6.1957,-0.7882,6.6893,0.5535,5.472,421.8709,-18.47,-3.68,-8.3352,174.9497,1.0486,6.1358,0.163,280.3327,273.2958,-3.6214,1.0687,7.758,0.5152,43.65
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,7.2,-0.03,10.3799,70.81,0,0.034,0.169,0.0257,0.102,-0.135,0.7499,3.586,32.445,0.2904,33.533,0.0255,3.1057,8.1689,-6.4551,1.7137,5.5999,-1.232,7.1066,477.3996,-33.8,-4.62,-6.7417,193.1436,0.7111,6.8319,0.1464,344.6954,328.3118,-2.1839,0.3491,5.949,1.5811,49.79
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,18.5,0.1468,10.0499,65.8,0,0.052,0.148,0.0379,0.1,-0.096,1.2177,3.51,31.693,0.39,33.1501,0.0111,0.596,5.5699,-6.4124,-0.8425,6.2361,-0.0074,3.873,449.7508,-22.13,-5.03,-7.8783,180.5406,0.9575,6.2435,0.1602,313.9302,298.2963,-3.1144,0.7767,7.0128,0.7841,41.9
ir_tbp_1_dft-pet3_1_dft-pme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,6.5,-0.1749,2.2954,77.147,0,0.0794,0.1372,0.0367,0.1082,-0.0578,0.4983,3.8152,32.546,0.2244,38.1774,0.0145,0.9652,8.8259,-8.0681,0.7578,6.4889,-0.9049,3.1511,496.2071,-17.5952,-2.5879,-7.5805,227.0942,0.565,7.3938,0.1353,383.164,397.0123,-2.792,0.5272,7.0161,1.4321,52.3895
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,6.4,-0.3243,17.7092,68.0348,0,0.0718,0.1079,0.0401,0.0898,-0.0361,0.1591,3.7598,32.2961,0.3351,35.5001,0.0703,1.2398,6.9483,-6.7912,0.1571,6.0456,-0.0312,5.0084,472.44,-13.9835,-3.7917,-7.7113,220.7721,0.8588,6.0768,0.1646,344.4075,342.1932,-3.0072,0.7443,6.7899,0.7755,47.7262
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,14.2,-0.0358,1.6748,73.6955,0,0.0947,0.1627,0.0299,0.1285,-0.068,0.5288,3.652,32.5565,0.2291,38.2707,0.0098,1.1288,8.6669,-6.8516,1.8152,5.5233,-1.8513,7.4063,532.2245,-21.6141,-2.7548,-6.4067,221.5828,0.4686,7.3747,0.1356,406.7768,388.4875,-1.836,0.2286,5.7519,2.0799,67.2088
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_dft-itcn_1_smi1_1_s_1,14.7,-0.0046,1.7007,73.5113,0,0.1176,0.129,0.0433,0.1234,-0.0114,0.5774,3.65,32.4981,0.2075,37.9839,0.0047,2.0558,9.0373,-7.4153,1.622,6.1729,-1.0349,3.9026,503.0407,-14.2698,-2.0471,-7.2071,220,0.4868,7.2078,0.1388,385.3321,374.756,-2.569,0.4578,6.6307,1.4928,64.7615
ir_tbp_1_dft-iz_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,23.9,0.347,28.1523,61.3159,0,0.0558,0.223,0.038,0.1394,-0.1672,1.1594,3.3317,31.7888,0.2842,27.9198,0.0012,0.4278,7.1216,-5.2559,1.8658,6.2402,-1.1627,3.9027,386.4263,-28.403,-5.6513,-6.8511,147.4286,0.625,7.4029,0.1351,249.8801,237.8894,-2.5387,0.4353,6.6755,1.598,62.8851
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,11.2,0.1383,3.69,72.16,0,0.034,0.107,0.0318,0.07,-0.073,0.5299,3.576,32.175,0.5137,32.4882,0.0042,0.4109,5.3069,-6.2918,-0.9849,6.2105,1.2015,7.6197,458.7087,-28.72,-5.43,-8.3956,184.1461,1.6206,5.009,0.1996,310.8497,293.8855,-3.706,1.371,7.5815,0.1695,24.76
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,8,-0.0353,2.1823,76.3282,0,0.0074,0.1338,0.0197,0.0706,-0.1264,0.7656,3.62,32.3654,0.431,38.8075,0.0159,2.7573,6.969,-6.7718,0.1973,5.6123,0.3596,5.8269,682.8002,-28.2348,-2.5744,-7.5021,359.7992,1.1676,5.2527,0.1904,528.808,550.1097,-2.9859,0.8487,6.461,0.4891,39.8334
ir_tbp_1_dft-ime_1_dft-py_1_dft-co_1_dft-icn_1_smi1_1_s_1,20.2,0.1803,1.6307,72.0115,0,0.0279,0.1682,0.0306,0.0979,-0.1403,0.7858,3.5415,32.3987,0.3414,35.131,0.0226,1.0927,6.8729,-6.7199,0.153,6.2782,-0.1706,3.266,496.0309,-19.7331,-2.807,-7.6965,202.5443,0.801,6.4489,0.1551,346.9949,330.904,-3.0538,0.7231,7.0013,0.8937,55.7381
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,5.3,-0.2132,4.1851,76.3475,0,0.0641,0.1476,0.0287,0.1058,-0.0835,0.3973,3.8163,32.5061,0.2412,38.813,0.0232,0.6305,8.182,-7.3614,0.8206,5.7881,-1.3694,7.1812,543.2185,-28.1261,-2.9272,-6.9722,247.6069,0.5602,7.1575,0.1397,425.35,433.3106,-2.2094,0.341,6.1291,1.7104,54.415
ir_tbp_1_dft-iz_1_dft-iz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,8.2,0.1281,22.6524,65.1862,0,0.0672,0.1995,0.0362,0.1334,-0.1323,0.0286,3.531,32.5237,0.4055,29.7949,0.0132,1.1952,7.1618,-5.2704,1.8914,5.4654,-1.1717,4.3596,412.6387,-31.2989,-5.9062,-6.5885,165.0993,0.8985,6.6371,0.1507,272.5872,260.4017,-2.1469,0.3472,5.8126,1.5189,51.2311
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,11.9,0.1592,13.4899,67.67,0,0.04,0.166,0.0309,0.103,-0.126,0.1142,3.589,32.42,0.4883,31.0891,0.0057,1.4135,5.8736,-5.4403,0.4332,5.4051,-0.6334,3.4183,449.723,-18.67,-4.28,-6.964,184.0851,1.1259,6.0385,0.1656,304.4996,290.0516,-2.3859,0.4713,5.8764,1.1047,44.73
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,6.8,-0.0857,1.5397,76.4281,0,0.0343,0.1486,0.0223,0.0915,-0.1144,0.4801,3.7135,32.6904,0.287,37.8736,0.023,1.7325,8.8131,-6.8647,1.9484,5.407,-1.3606,6.764,514.315,-30.9182,-3.0469,-6.658,217.4667,0.6949,6.7676,0.1478,387.184,381.0884,-2.0232,0.3024,5.7094,1.663,47.4325
ir_tbp_1_dft-sime_1_dft-sime_1_dft-co_1_dft-oh_1_smi1_1_s_1,20,0.2285,0.2595,74.0497,0,0.0576,0.1793,0.0257,0.1189,-0.1217,0.8134,3.4812,32.445,0.2773,36.5635,0.0067,0.2692,8.5933,-6.0264,2.5668,5.5135,-1.8587,1.4397,498.9204,-19.2333,-3.0747,-6.2777,200.5613,0.5943,7.3722,0.1356,366.3491,359.1421,-1.8274,0.2265,5.74,2.0852,62.9915
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,3,-0.1876,4.6665,76.6922,0,0.0151,0.1312,0.022,0.0731,-0.1162,0.425,3.8135,32.3954,0.3203,40.4019,0.0399,0.9921,7.8093,-7.4223,0.387,5.9709,-0.0076,5.1674,665.0721,-27.8563,-4.765,-7.4296,354.1275,0.8435,5.9786,0.1673,519.5862,543.8802,-2.9816,0.7435,6.7144,0.7511,51.4371
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,11,-0.005,12.9736,68.6293,0,0.0442,0.1292,0.0336,0.0867,-0.085,1.01,3.7022,32.5649,0.4086,32.4276,0.1014,1.2551,7.4523,-6.8086,0.6437,6.2354,0.1228,6.8015,499.6071,-23.5217,-2.9704,-7.7553,204.0615,0.9692,6.1126,0.1636,345.8734,333.2894,-3.1791,0.8267,7.0621,0.704,44.7885
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,12.1,0.0329,0,77.6188,0,0.0426,0.1631,0.0177,0.1028,-0.1205,0.0377,3.6596,33.1526,0.3648,41.1345,0.0109,0.7169,8.1928,-5.922,2.2709,4.6277,-2.0345,4.6812,552.7437,-14.7115,-1.7939,-5.7576,229.7808,0.7943,6.6622,0.1501,404.2301,386.0063,-1.2966,0.1262,4.7538,2.1607,58.235
