Reaction,Substrate,Substrate_MolWt,Substrate_MolLogP,Substrate_TPSA,Catalyst,Base,Solvent,Solvent_MolWt,Solvent_MolLogP,Solvent_TPSA,Yield
23,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,33.1669
24,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,30.6845
25,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,24.6628
26,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,27.1862
27,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,29.6047
28,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,27.6626
29,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,28.6851
30,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,26.2026
31,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,24.9297
32,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,27.4531
33,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,29.8716
34,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,27.9295
35,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,28.952
36,Brc1cccnc1,157.998,1.8441,12.89,cphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,26.4695
37,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,35.7566
38,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,38.2799
39,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,56.7424
40,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,38.7564
41,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,39.7789
42,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,37.2964
43,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,30.7788
44,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,33.3021
45,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,35.7207
46,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,33.7786
47,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,34.801
48,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,32.3186
49,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,36.3663
50,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,38.8897
51,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,90.0
52,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,39.3662
53,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,40.3886
54,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,37.9061
55,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,36.4933
56,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,39.0166
57,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,41.4352
58,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,39.4931
59,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,40.5156
60,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,38.0331
61,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,32.0114
62,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,34.5348
63,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,36.9533
64,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,31.8182
65,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,36.0337
66,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,33.5513
67,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,32.2783
68,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,34.8017
69,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,37.2202
70,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,35.2782
71,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,36.3006
72,Brc1cccnc1,157.998,1.8441,12.89,ruphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,33.8181
73,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,58.4091
74,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,79.0909
75,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,42.1967
76,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,DMA,87.122,0.0945,20.31,40.2547
77,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,Toluene,92.141,1.995,0.0,41.2771
78,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,38.7947
79,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,32.277
80,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,34.8003
81,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,37.2189
82,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,35.2768
83,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,36.2993
84,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,33.8168
85,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,37.8646
86,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,40.3879
87,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,42.8064
88,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,40.8644
89,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,41.8868
90,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,39.4044
91,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,37.9915
92,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,59.5455
93,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,42.9334
94,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,40.9913
95,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,42.0138
96,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,39.5313
97,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,33.5097
98,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,36.033
99,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,21.8182
100,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,DMA,87.122,0.0945,20.31,36.5095
101,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,Toluene,92.141,1.995,0.0,37.5319
102,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,35.0495
103,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,33.7766
104,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,36.2999
105,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,38.7184
106,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,36.7764
107,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,37.7988
108,Brc1cccnc1,157.998,1.8441,12.89,p(tbu)3-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,35.3164
109,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,DMSO,78.136,-0.0053,17.07,31.3881
110,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,33.9114
111,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,t-AmOH,88.15,1.1673,20.23,36.33
112,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,DMA,87.122,0.0945,20.31,34.3879
113,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,Toluene,92.141,1.995,0.0,35.4104
114,Brc1cccnc1,157.998,1.8441,12.89,empty,P2Et,2-Me-THF,86.134,1.1853,9.23,32.9279
115,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,DMSO,78.136,-0.0053,17.07,26.4103
116,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,28.9336
117,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,t-AmOH,88.15,1.1673,20.23,31.3521
118,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,DMA,87.122,0.0945,20.31,29.4101
119,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,Toluene,92.141,1.995,0.0,30.4325
120,Brc1cccnc1,157.998,1.8441,12.89,empty,LiOTMS,2-Me-THF,86.134,1.1853,9.23,27.9501
121,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,DMSO,78.136,-0.0053,17.07,31.9978
122,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,34.5211
123,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,t-AmOH,88.15,1.1673,20.23,36.9397
124,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,DMA,87.122,0.0945,20.31,34.9976
125,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,Toluene,92.141,1.995,0.0,36.0201
126,Brc1cccnc1,157.998,1.8441,12.89,empty,NaOtBu,2-Me-THF,86.134,1.1853,9.23,33.5376
127,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,DMSO,78.136,-0.0053,17.07,32.1248
128,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,34.6481
129,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,t-AmOH,88.15,1.1673,20.23,37.0667
130,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,DMA,87.122,0.0945,20.31,35.1246
131,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,Toluene,92.141,1.995,0.0,36.147
132,Brc1cccnc1,157.998,1.8441,12.89,empty,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,33.6646
133,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,DMSO,78.136,-0.0053,17.07,27.6429
134,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,30.1662
135,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,t-AmOH,88.15,1.1673,20.23,32.5848
136,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,DMA,87.122,0.0945,20.31,30.6427
137,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,Toluene,92.141,1.995,0.0,31.6652
138,Brc1cccnc1,157.998,1.8441,12.89,empty,BTMG,2-Me-THF,86.134,1.1853,9.23,29.1827
139,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,DMSO,78.136,-0.0053,17.07,27.9098
140,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,30.4331
141,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,t-AmOH,88.15,1.1673,20.23,32.8517
142,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,DMA,87.122,0.0945,20.31,30.9096
143,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,Toluene,92.141,1.995,0.0,31.9321
144,Brc1cccnc1,157.998,1.8441,12.89,empty,K3PO4,2-Me-THF,86.134,1.1853,9.23,29.4496
145,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,36.2709
146,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,38.7943
147,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,41.2128
148,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,57.7273
149,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,40.2932
150,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,37.8107
151,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,31.2931
152,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,33.8164
153,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,36.235
154,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,34.2929
155,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,35.3154
156,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,32.8329
157,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,36.8806
158,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,70.0
159,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,41.8225
160,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,39.8805
161,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,40.9029
162,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,38.4205
163,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,37.0076
164,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,39.5309
165,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,41.9495
166,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,40.0074
167,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,41.0299
168,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,38.5474
169,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,32.5257
170,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,35.0491
171,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,37.4676
172,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,35.5256
173,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,36.548
174,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,34.0656
175,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,DMSO,78.136,-0.0053,17.07,32.7926
176,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,"1,4-Dioxane",88.106,0.0332,18.46,35.316
177,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,t-AmOH,88.15,1.1673,20.23,37.7345
178,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,DMA,87.122,0.0945,20.31,35.7925
179,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,Toluene,92.141,1.995,0.0,36.8149
180,Brc1cccnc1,157.998,1.8441,12.89,xphos-pd-g4,K3PO4,2-Me-THF,86.134,1.1853,9.23,34.3325
181,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,DMSO,78.136,-0.0053,17.07,34.6801
182,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,"1,4-Dioxane",88.106,0.0332,18.46,37.2034
183,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,t-AmOH,88.15,1.1673,20.23,54.1288
184,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,DMA,87.122,0.0945,20.31,66.3636
185,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,Toluene,92.141,1.995,0.0,38.7024
186,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,P2Et,2-Me-THF,86.134,1.1853,9.23,36.2199
187,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,DMSO,78.136,-0.0053,17.07,29.7023
188,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,"1,4-Dioxane",88.106,0.0332,18.46,32.2256
189,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,t-AmOH,88.15,1.1673,20.23,34.6441
190,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,DMA,87.122,0.0945,20.31,32.7021
191,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,Toluene,92.141,1.995,0.0,33.7245
192,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,LiOTMS,2-Me-THF,86.134,1.1853,9.23,31.2421
193,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,DMSO,78.136,-0.0053,17.07,35.2898
194,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,"1,4-Dioxane",88.106,0.0332,18.46,37.8131
195,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,t-AmOH,88.15,1.1673,20.23,39.0909
196,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,DMA,87.122,0.0945,20.31,38.2896
197,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,Toluene,92.141,1.995,0.0,39.3121
198,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,NaOtBu,2-Me-THF,86.134,1.1853,9.23,36.8296
199,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,DMSO,78.136,-0.0053,17.07,35.4168
200,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,"1,4-Dioxane",88.106,0.0332,18.46,37.9401
201,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,t-AmOH,88.15,1.1673,20.23,40.3586
202,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,DMA,87.122,0.0945,20.31,38.4166
203,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,Toluene,92.141,1.995,0.0,39.439
204,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,Cs2CO3,2-Me-THF,86.134,1.1853,9.23,36.9566
205,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,DMSO,78.136,-0.0053,17.07,30.9349
206,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,"1,4-Dioxane",88.106,0.0332,18.46,33.4582
207,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,t-AmOH,88.15,1.1673,20.23,35.8768
208,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,DMA,87.122,0.0945,20.31,33.9347
209,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,Toluene,92.141,1.995,0.0,34.9572
210,Brc1cccnc1,157.998,1.8441,12.89,brettphos-pd-g4,BTMG,2-Me-THF,86.134,1.1853,9.23,32.4747
