Reaction,Aryl SMILES,Catalyst Name,Base Name,Solvent Name,Yield
57,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTMG,DMSO,0
58,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BEMP,DMSO,0
59,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTTP,DMSO,0
60,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,P2Et,DMSO,0.40007603
61,Brc1cccnc1,mordalphos-pd-g3,DBU,DMSO,0
62,Brc1cccnc1,mordalphos-pd-g3,MTBD,DMSO,0
63,Brc1cccnc1,mordalphos-pd-g3,BTMG,DMSO,0
64,Brc1cccnc1,mordalphos-pd-g3,BEMP,DMSO,0.056051265
65,Brc1cccnc1,mordalphos-pd-g3,BTTP,DMSO,0
66,Brc1cccnc1,mordalphos-pd-g3,P2Et,DMSO,0.4327438
67,Brc1cccnc1,brettphos-pd-g3,DBU,DMSO,0
68,Brc1cccnc1,brettphos-pd-g3,MTBD,DMSO,0.17036946
69,Brc1cccnc1,brettphos-pd-g3,BTMG,DMSO,0.18673645
70,Brc1cccnc1,brettphos-pd-g3,BEMP,DMSO,0.29282802
71,Brc1cccnc1,brettphos-pd-g3,BTTP,DMSO,0.5775965
72,Brc1cccnc1,brettphos-pd-g3,P2Et,DMSO,5.559441
73,Brc1cccnc1,tbuxphos-pd-g3,DBU,DMSO,2.0411203
74,Brc1cccnc1,tbuxphos-pd-g3,MTBD,DMSO,12.871051
75,Brc1cccnc1,tbuxphos-pd-g3,BTMG,DMSO,10.644686
76,Brc1cccnc1,tbuxphos-pd-g3,BEMP,DMSO,1.7942492
77,Brc1cccnc1,tbuxphos-pd-g3,BTTP,DMSO,13.341067
78,Brc1cccnc1,tbuxphos-pd-g3,P2Et,DMSO,14.066005
79,Brc1cccnc1,tbubrettphos-pd-g3,DBU,DMSO,1.8688397
80,Brc1cccnc1,tbubrettphos-pd-g3,MTBD,DMSO,11.153844
81,Brc1cccnc1,tbubrettphos-pd-g3,BTMG,DMSO,8.015773
82,Brc1cccnc1,tbubrettphos-pd-g3,BEMP,DMSO,1.384164
83,Brc1cccnc1,tbubrettphos-pd-g3,BTTP,DMSO,7.1262255
84,Brc1cccnc1,tbubrettphos-pd-g3,P2Et,DMSO,12.012997
85,Brc1cccnc1,rockphos-pd-g3,DBU,DMSO,2.9977324
86,Brc1cccnc1,rockphos-pd-g3,MTBD,DMSO,10.243998
87,Brc1cccnc1,rockphos-pd-g3,BTMG,DMSO,6.7742333
88,Brc1cccnc1,rockphos-pd-g3,BEMP,DMSO,2.9962935
89,Brc1cccnc1,rockphos-pd-g3,BTTP,DMSO,6.7825627
90,Brc1cccnc1,rockphos-pd-g3,P2Et,DMSO,8.265105
91,Brc1cccnc1,adbrettphos-pd-g3,DBU,DMSO,1.068696
92,Brc1cccnc1,adbrettphos-pd-g3,MTBD,DMSO,7.455464
93,Brc1cccnc1,adbrettphos-pd-g3,BTMG,DMSO,3.6416013
94,Brc1cccnc1,adbrettphos-pd-g3,BEMP,DMSO,1.3531715
95,Brc1cccnc1,adbrettphos-pd-g3,BTTP,DMSO,1.6118512
96,Brc1cccnc1,adbrettphos-pd-g3,P2Et,DMSO,13.530785
97,Brc1cccnc1,binap-pd-g3,DBU,DMSO,0
98,Brc1cccnc1,binap-pd-g3,MTBD,DMSO,0
99,Brc1cccnc1,binap-pd-g3,BTMG,DMSO,0
100,Brc1cccnc1,binap-pd-g3,BEMP,DMSO,0
101,Brc1cccnc1,binap-pd-g3,BTTP,DMSO,0
102,Brc1cccnc1,binap-pd-g3,P2Et,DMSO,0.57669985
103,Brc1cccnc1,dppf-pd-g3,DBU,DMSO,0
104,Brc1cccnc1,dppf-pd-g3,MTBD,DMSO,0
105,Brc1cccnc1,dppf-pd-g3,BTMG,DMSO,0
106,Brc1cccnc1,dppf-pd-g3,BEMP,DMSO,0
107,Brc1cccnc1,dppf-pd-g3,BTTP,DMSO,0
108,Brc1cccnc1,dppf-pd-g3,P2Et,DMSO,0.8539286
109,Brc1cccnc1,xantphos-pd-g2,DBU,DMSO,0
110,Brc1cccnc1,xantphos-pd-g2,MTBD,DMSO,0.4326697
111,Brc1cccnc1,xantphos-pd-g2,BTMG,DMSO,0.77281314
112,Brc1cccnc1,xantphos-pd-g2,BEMP,DMSO,0.45400387
113,Brc1cccnc1,xantphos-pd-g2,BTTP,DMSO,1.3618768
114,Brc1cccnc1,xantphos-pd-g2,P2Et,DMSO,0.44529232
115,Brc1cccnc1,tbu3p-pd-g2,DBU,DMSO,0
116,Brc1cccnc1,tbu3p-pd-g2,MTBD,DMSO,0.6859049
117,Brc1cccnc1,tbu3p-pd-g2,BTMG,DMSO,1.2194666
118,Brc1cccnc1,tbu3p-pd-g2,BEMP,DMSO,0.84503156
119,Brc1cccnc1,tbu3p-pd-g2,BTTP,DMSO,2.4688768
120,Brc1cccnc1,tbu3p-pd-g2,P2Et,DMSO,0.43886217
121,Brc1cccnc1,ppa-pd-g3,DBU,DMSO,0
122,Brc1cccnc1,ppa-pd-g3,MTBD,DMSO,0
123,Brc1cccnc1,ppa-pd-g3,BTMG,DMSO,0
124,Brc1cccnc1,ppa-pd-g3,BEMP,DMSO,0
125,Brc1cccnc1,ppa-pd-g3,BTTP,DMSO,0
126,Brc1cccnc1,ppa-pd-g3,P2Et,DMSO,0
127,Brc1cccnc1,aphos-pd-g3,DBU,DMSO,0
128,Brc1cccnc1,aphos-pd-g3,MTBD,DMSO,0
129,Brc1cccnc1,aphos-pd-g3,BTMG,DMSO,0
130,Brc1cccnc1,aphos-pd-g3,BEMP,DMSO,0
131,Brc1cccnc1,aphos-pd-g3,BTTP,DMSO,0.29426548
132,Brc1cccnc1,aphos-pd-g3,P2Et,DMSO,0.1406853
133,Brc1cccnc1,xphos-pd-g3,DBU,DMSO,0
134,Brc1cccnc1,xphos-pd-g3,MTBD,DMSO,1.9153479
135,Brc1cccnc1,xphos-pd-g3,BTMG,DMSO,2.8685634
136,Brc1cccnc1,xphos-pd-g3,BEMP,DMSO,2.1944962
137,Brc1cccnc1,xphos-pd-g3,BTTP,DMSO,2.664423
138,Brc1cccnc1,xphos-pd-g3,P2Et,DMSO,5.3784494
139,Brc1cccnc1,ruphos-pd-g2,DBU,DMSO,0
140,Brc1cccnc1,ruphos-pd-g2,MTBD,DMSO,0.24975021
141,Brc1cccnc1,ruphos-pd-g2,BTMG,DMSO,0.4594505
142,Brc1cccnc1,ruphos-pd-g2,BEMP,DMSO,0.4386522
143,Brc1cccnc1,ruphos-pd-g2,BTTP,DMSO,0.8265077
144,Brc1cccnc1,ruphos-pd-g2,P2Et,DMSO,1.1844435
145,Brc1cccnc1,dtbpf-pd-g3,DBU,DMSO,0
146,Brc1cccnc1,dtbpf-pd-g3,MTBD,DMSO,0.54562134
147,Brc1cccnc1,dtbpf-pd-g3,BTMG,DMSO,0.6520779
148,Brc1cccnc1,dtbpf-pd-g3,BEMP,DMSO,0.6527536
149,Brc1cccnc1,dtbpf-pd-g3,BTTP,DMSO,2.653635
150,Brc1cccnc1,dtbpf-pd-g3,P2Et,DMSO,20.240395
151,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,DBU,DMSO,0.18060885
152,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,MTBD,DMSO,0.37499323
153,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTMG,DMSO,0.5756567
154,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BEMP,DMSO,0.45192862
155,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTTP,DMSO,2.6612732
156,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,P2Et,DMSO,13.475709
157,Brc1cccnc1,mordalphos-pd-g3,DBU,DMSO,0
158,Brc1cccnc1,mordalphos-pd-g3,MTBD,DMSO,0.60653245
159,Brc1cccnc1,mordalphos-pd-g3,BTMG,DMSO,0.6665701
160,Brc1cccnc1,mordalphos-pd-g3,BEMP,DMSO,0.4004326
161,Brc1cccnc1,mordalphos-pd-g3,BTTP,DMSO,1.1700629
162,Brc1cccnc1,mordalphos-pd-g3,P2Et,DMSO,1.3208673
163,Brc1cccnc1,brettphos-pd-g3,DBU,DMSO,1.1232952
164,Brc1cccnc1,brettphos-pd-g3,MTBD,DMSO,11.951987
165,Brc1cccnc1,brettphos-pd-g3,BTMG,DMSO,13.490941
166,Brc1cccnc1,brettphos-pd-g3,BEMP,DMSO,2.5648131
167,Brc1cccnc1,brettphos-pd-g3,BTTP,DMSO,14.437546
168,Brc1cccnc1,brettphos-pd-g3,P2Et,DMSO,3.5634508
169,Brc1cccnc1,tbuxphos-pd-g3,DBU,DMSO,14.745435
170,Brc1cccnc1,tbuxphos-pd-g3,MTBD,DMSO,16.156422
171,Brc1cccnc1,tbuxphos-pd-g3,BTMG,DMSO,15.680709
172,Brc1cccnc1,tbuxphos-pd-g3,BEMP,DMSO,2.431557
173,Brc1cccnc1,tbuxphos-pd-g3,BTTP,DMSO,16.333326
174,Brc1cccnc1,tbuxphos-pd-g3,P2Et,DMSO,14.165395
175,Brc1cccnc1,tbubrettphos-pd-g3,DBU,DMSO,11.482346
176,Brc1cccnc1,tbubrettphos-pd-g3,MTBD,DMSO,13.0307045
177,Brc1cccnc1,tbubrettphos-pd-g3,BTMG,DMSO,12.132856
178,Brc1cccnc1,tbubrettphos-pd-g3,BEMP,DMSO,1.5840005
179,Brc1cccnc1,tbubrettphos-pd-g3,BTTP,DMSO,4.5326233
180,Brc1cccnc1,tbubrettphos-pd-g3,P2Et,DMSO,8.378973
181,Brc1cccnc1,rockphos-pd-g3,DBU,DMSO,10.064768
182,Brc1cccnc1,rockphos-pd-g3,MTBD,DMSO,12.952005
183,Brc1cccnc1,rockphos-pd-g3,BTMG,DMSO,12.058637
184,Brc1cccnc1,rockphos-pd-g3,BEMP,DMSO,2.8395536
185,Brc1cccnc1,rockphos-pd-g3,BTTP,DMSO,5.061728
186,Brc1cccnc1,rockphos-pd-g3,P2Et,DMSO,5.835522
187,Brc1cccnc1,adbrettphos-pd-g3,DBU,DMSO,15.473171
188,Brc1cccnc1,adbrettphos-pd-g3,MTBD,DMSO,17.04027
189,Brc1cccnc1,adbrettphos-pd-g3,BTMG,DMSO,16.24892
190,Brc1cccnc1,adbrettphos-pd-g3,BEMP,DMSO,3.2588165
191,Brc1cccnc1,adbrettphos-pd-g3,BTTP,DMSO,6.6038847
192,Brc1cccnc1,adbrettphos-pd-g3,P2Et,DMSO,11.692128
193,Brc1cccnc1,binap-pd-g3,DBU,DMSO,0
194,Brc1cccnc1,binap-pd-g3,MTBD,DMSO,0
195,Brc1cccnc1,binap-pd-g3,BTMG,DMSO,0
196,Brc1cccnc1,binap-pd-g3,BEMP,DMSO,0
197,Brc1cccnc1,binap-pd-g3,BTTP,DMSO,0
198,Brc1cccnc1,binap-pd-g3,P2Et,DMSO,0
199,Brc1cccnc1,dppf-pd-g3,DBU,DMSO,0
200,Brc1cccnc1,dppf-pd-g3,MTBD,DMSO,0
201,Brc1cccnc1,dppf-pd-g3,BTMG,DMSO,0
202,Brc1cccnc1,dppf-pd-g3,BEMP,DMSO,0
203,Brc1cccnc1,dppf-pd-g3,BTTP,DMSO,0
204,Brc1cccnc1,dppf-pd-g3,P2Et,DMSO,0
205,Brc1cccnc1,xantphos-pd-g2,DBU,DMSO,0
206,Brc1cccnc1,xantphos-pd-g2,MTBD,DMSO,0.2482978
207,Brc1cccnc1,xantphos-pd-g2,BTMG,DMSO,0.39122307
208,Brc1cccnc1,xantphos-pd-g2,BEMP,DMSO,0.28094786
209,Brc1cccnc1,xantphos-pd-g2,BTTP,DMSO,0.38539073
210,Brc1cccnc1,xantphos-pd-g2,P2Et,DMSO,0
211,Brc1cccnc1,tbu3p-pd-g2,DBU,DMSO,0
212,Brc1cccnc1,tbu3p-pd-g2,MTBD,DMSO,0
213,Brc1cccnc1,tbu3p-pd-g2,BTMG,DMSO,0
214,Brc1cccnc1,tbu3p-pd-g2,BEMP,DMSO,0
215,Brc1cccnc1,tbu3p-pd-g2,BTTP,DMSO,0
216,Brc1cccnc1,tbu3p-pd-g2,P2Et,DMSO,0
217,Brc1cccnc1,ppa-pd-g3,DBU,DMSO,0
218,Brc1cccnc1,ppa-pd-g3,MTBD,DMSO,0
219,Brc1cccnc1,ppa-pd-g3,BTMG,DMSO,0
220,Brc1cccnc1,ppa-pd-g3,BEMP,DMSO,0
221,Brc1cccnc1,ppa-pd-g3,BTTP,DMSO,0
222,Brc1cccnc1,ppa-pd-g3,P2Et,DMSO,0
223,Brc1cccnc1,aphos-pd-g3,DBU,DMSO,0
224,Brc1cccnc1,aphos-pd-g3,MTBD,DMSO,0
225,Brc1cccnc1,aphos-pd-g3,BTMG,DMSO,0
226,Brc1cccnc1,aphos-pd-g3,BEMP,DMSO,0
227,Brc1cccnc1,aphos-pd-g3,BTTP,DMSO,0
228,Brc1cccnc1,aphos-pd-g3,P2Et,DMSO,0
229,Brc1cccnc1,xphos-pd-g3,DBU,DMSO,0
230,Brc1cccnc1,xphos-pd-g3,MTBD,DMSO,0
231,Brc1cccnc1,xphos-pd-g3,BTMG,DMSO,0
232,Brc1cccnc1,xphos-pd-g3,BEMP,DMSO,0
233,Brc1cccnc1,xphos-pd-g3,BTTP,DMSO,0.17079197
234,Brc1cccnc1,xphos-pd-g3,P2Et,DMSO,0
235,Brc1cccnc1,ruphos-pd-g2,DBU,DMSO,0
236,Brc1cccnc1,ruphos-pd-g2,MTBD,DMSO,0
237,Brc1cccnc1,ruphos-pd-g2,BTMG,DMSO,0
238,Brc1cccnc1,ruphos-pd-g2,BEMP,DMSO,0
239,Brc1cccnc1,ruphos-pd-g2,BTTP,DMSO,0
240,Brc1cccnc1,ruphos-pd-g2,P2Et,DMSO,0
241,Brc1cccnc1,dtbpf-pd-g3,DBU,DMSO,0
242,Brc1cccnc1,dtbpf-pd-g3,MTBD,DMSO,0
243,Brc1cccnc1,dtbpf-pd-g3,BTMG,DMSO,0
244,Brc1cccnc1,dtbpf-pd-g3,BEMP,DMSO,0
245,Brc1cccnc1,dtbpf-pd-g3,BTTP,DMSO,0.2702708
246,Brc1cccnc1,dtbpf-pd-g3,P2Et,DMSO,0
247,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,DBU,DMSO,0
248,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,MTBD,DMSO,0
249,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTMG,DMSO,0
250,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BEMP,DMSO,0
251,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTTP,DMSO,0
252,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,P2Et,DMSO,0
253,Brc1cccnc1,mordalphos-pd-g3,DBU,DMSO,0
254,Brc1cccnc1,mordalphos-pd-g3,MTBD,DMSO,0
255,Brc1cccnc1,mordalphos-pd-g3,BTMG,DMSO,0
256,Brc1cccnc1,mordalphos-pd-g3,BEMP,DMSO,0
257,Brc1cccnc1,mordalphos-pd-g3,BTTP,DMSO,0
258,Brc1cccnc1,mordalphos-pd-g3,P2Et,DMSO,0
259,Brc1cccnc1,brettphos-pd-g3,DBU,DMSO,0
260,Brc1cccnc1,brettphos-pd-g3,MTBD,DMSO,1.3046262
261,Brc1cccnc1,brettphos-pd-g3,BTMG,DMSO,1.5257323
262,Brc1cccnc1,brettphos-pd-g3,BEMP,DMSO,1.172518
263,Brc1cccnc1,brettphos-pd-g3,BTTP,DMSO,2.312719
264,Brc1cccnc1,brettphos-pd-g3,P2Et,DMSO,0.17726351
265,Brc1cccnc1,tbuxphos-pd-g3,DBU,DMSO,12.685304
266,Brc1cccnc1,tbuxphos-pd-g3,MTBD,DMSO,14.025233
267,Brc1cccnc1,tbuxphos-pd-g3,BTMG,DMSO,13.391708
268,Brc1cccnc1,tbuxphos-pd-g3,BEMP,DMSO,1.8631984
269,Brc1cccnc1,tbuxphos-pd-g3,BTTP,DMSO,14.30189
270,Brc1cccnc1,tbuxphos-pd-g3,P2Et,DMSO,14.588438
271,Brc1cccnc1,tbubrettphos-pd-g3,DBU,DMSO,12.053412
272,Brc1cccnc1,tbubrettphos-pd-g3,MTBD,DMSO,14.3772
273,Brc1cccnc1,tbubrettphos-pd-g3,BTMG,DMSO,15.045437
274,Brc1cccnc1,tbubrettphos-pd-g3,BEMP,DMSO,1.5621766
275,Brc1cccnc1,tbubrettphos-pd-g3,BTTP,DMSO,3.779777
276,Brc1cccnc1,tbubrettphos-pd-g3,P2Et,DMSO,12.221601
277,Brc1cccnc1,rockphos-pd-g3,DBU,DMSO,11.745089
278,Brc1cccnc1,rockphos-pd-g3,MTBD,DMSO,13.1133
279,Brc1cccnc1,rockphos-pd-g3,BTMG,DMSO,12.303091
280,Brc1cccnc1,rockphos-pd-g3,BEMP,DMSO,2.577166
281,Brc1cccnc1,rockphos-pd-g3,BTTP,DMSO,6.793606
282,Brc1cccnc1,rockphos-pd-g3,P2Et,DMSO,9.719629
283,Brc1cccnc1,adbrettphos-pd-g3,DBU,DMSO,12.540323
284,Brc1cccnc1,adbrettphos-pd-g3,MTBD,DMSO,14.422381
285,Brc1cccnc1,adbrettphos-pd-g3,BTMG,DMSO,15.823585
286,Brc1cccnc1,adbrettphos-pd-g3,BEMP,DMSO,2.4872158
287,Brc1cccnc1,adbrettphos-pd-g3,BTTP,DMSO,4.4016833
288,Brc1cccnc1,adbrettphos-pd-g3,P2Et,DMSO,12.9615345
289,Brc1cccnc1,binap-pd-g3,DBU,DMSO,0
290,Brc1cccnc1,binap-pd-g3,MTBD,DMSO,0
291,Brc1cccnc1,binap-pd-g3,BTMG,DMSO,0
292,Brc1cccnc1,binap-pd-g3,BEMP,DMSO,0
293,Brc1cccnc1,binap-pd-g3,BTTP,DMSO,0
294,Brc1cccnc1,binap-pd-g3,P2Et,DMSO,0
295,Brc1cccnc1,dppf-pd-g3,DBU,DMSO,0
296,Brc1cccnc1,dppf-pd-g3,MTBD,DMSO,0
297,Brc1cccnc1,dppf-pd-g3,BTMG,DMSO,0
298,Brc1cccnc1,dppf-pd-g3,BEMP,DMSO,0
299,Brc1cccnc1,dppf-pd-g3,BTTP,DMSO,0
300,Brc1cccnc1,dppf-pd-g3,P2Et,DMSO,0
301,Brc1cccnc1,xantphos-pd-g2,DBU,DMSO,0
302,Brc1cccnc1,xantphos-pd-g2,MTBD,DMSO,0
303,Brc1cccnc1,xantphos-pd-g2,BTMG,DMSO,0
304,Brc1cccnc1,xantphos-pd-g2,BEMP,DMSO,0
305,Brc1cccnc1,xantphos-pd-g2,BTTP,DMSO,0
306,Brc1cccnc1,xantphos-pd-g2,P2Et,DMSO,0
307,Brc1cccnc1,tbu3p-pd-g2,DBU,DMSO,0
308,Brc1cccnc1,tbu3p-pd-g2,MTBD,DMSO,0
309,Brc1cccnc1,tbu3p-pd-g2,BTMG,DMSO,0
310,Brc1cccnc1,tbu3p-pd-g2,BEMP,DMSO,0
311,Brc1cccnc1,tbu3p-pd-g2,BTTP,DMSO,0
312,Brc1cccnc1,tbu3p-pd-g2,P2Et,DMSO,0
313,Brc1cccnc1,ppa-pd-g3,DBU,DMSO,0
314,Brc1cccnc1,ppa-pd-g3,MTBD,DMSO,0
315,Brc1cccnc1,ppa-pd-g3,BTMG,DMSO,0
316,Brc1cccnc1,ppa-pd-g3,BEMP,DMSO,0
317,Brc1cccnc1,ppa-pd-g3,BTTP,DMSO,0
318,Brc1cccnc1,ppa-pd-g3,P2Et,DMSO,0
319,Brc1cccnc1,aphos-pd-g3,DBU,DMSO,0
320,Brc1cccnc1,aphos-pd-g3,MTBD,DMSO,0
321,Brc1cccnc1,aphos-pd-g3,BTMG,DMSO,0
322,Brc1cccnc1,aphos-pd-g3,BEMP,DMSO,0
323,Brc1cccnc1,aphos-pd-g3,BTTP,DMSO,0
324,Brc1cccnc1,aphos-pd-g3,P2Et,DMSO,0
325,Brc1cccnc1,xphos-pd-g3,DBU,DMSO,0
326,Brc1cccnc1,xphos-pd-g3,MTBD,DMSO,0
327,Brc1cccnc1,xphos-pd-g3,BTMG,DMSO,0
328,Brc1cccnc1,xphos-pd-g3,BEMP,DMSO,0
329,Brc1cccnc1,xphos-pd-g3,BTTP,DMSO,0
330,Brc1cccnc1,xphos-pd-g3,P2Et,DMSO,0
331,Brc1cccnc1,ruphos-pd-g2,DBU,DMSO,0
332,Brc1cccnc1,ruphos-pd-g2,MTBD,DMSO,0
333,Brc1cccnc1,ruphos-pd-g2,BTMG,DMSO,0
334,Brc1cccnc1,ruphos-pd-g2,BEMP,DMSO,0
335,Brc1cccnc1,ruphos-pd-g2,BTTP,DMSO,0
336,Brc1cccnc1,ruphos-pd-g2,P2Et,DMSO,0
337,Brc1cccnc1,dtbpf-pd-g3,DBU,DMSO,0
338,Brc1cccnc1,dtbpf-pd-g3,MTBD,DMSO,0
339,Brc1cccnc1,dtbpf-pd-g3,BTMG,DMSO,0
340,Brc1cccnc1,dtbpf-pd-g3,BEMP,DMSO,0
341,Brc1cccnc1,dtbpf-pd-g3,BTTP,DMSO,0
342,Brc1cccnc1,dtbpf-pd-g3,P2Et,DMSO,0
343,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,DBU,DMSO,0
344,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,MTBD,DMSO,0
345,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTMG,DMSO,0
346,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BEMP,DMSO,0
347,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,BTTP,DMSO,0
348,Brc1cccnc1,josiphos-sl-j009-1-pd-g3,P2Et,DMSO,0
349,Brc1cccnc1,mordalphos-pd-g3,DBU,DMSO,0
350,Brc1cccnc1,mordalphos-pd-g3,MTBD,DMSO,0
351,Brc1cccnc1,mordalphos-pd-g3,BTMG,DMSO,0
352,Brc1cccnc1,mordalphos-pd-g3,BEMP,DMSO,0
353,Brc1cccnc1,mordalphos-pd-g3,BTTP,DMSO,0
354,Brc1cccnc1,mordalphos-pd-g3,P2Et,DMSO,0
355,Brc1cccnc1,brettphos-pd-g3,DBU,DMSO,0
356,Brc1cccnc1,brettphos-pd-g3,MTBD,DMSO,0
357,Brc1cccnc1,brettphos-pd-g3,BTMG,DMSO,0
358,Brc1cccnc1,brettphos-pd-g3,BEMP,DMSO,0
359,Brc1cccnc1,brettphos-pd-g3,BTTP,DMSO,0
360,Brc1cccnc1,brettphos-pd-g3,P2Et,DMSO,0
361,Brc1cccnc1,tbuxphos-pd-g3,DBU,DMSO,1.5379376
362,Brc1cccnc1,tbuxphos-pd-g3,MTBD,DMSO,3.523233
363,Brc1cccnc1,tbuxphos-pd-g3,BTMG,DMSO,3.5452254
364,Brc1cccnc1,tbuxphos-pd-g3,BEMP,DMSO,1.6297154
365,Brc1cccnc1,tbuxphos-pd-g3,BTTP,DMSO,3.0503433
366,Brc1cccnc1,tbuxphos-pd-g3,P2Et,DMSO,5.4460883
367,Brc1cccnc1,tbubrettphos-pd-g3,DBU,DMSO,3.8585336
368,Brc1cccnc1,tbubrettphos-pd-g3,MTBD,DMSO,5.464231
369,Brc1cccnc1,tbubrettphos-pd-g3,BTMG,DMSO,5.174799
370,Brc1cccnc1,tbubrettphos-pd-g3,BEMP,DMSO,1.1534076
371,Brc1cccnc1,tbubrettphos-pd-g3,BTTP,DMSO,5.5154777
372,Brc1cccnc1,tbubrettphos-pd-g3,P2Et,DMSO,9.215553
373,Brc1cccnc1,rockphos-pd-g3,DBU,DMSO,2.685328
374,Brc1cccnc1,rockphos-pd-g3,MTBD,DMSO,3.941317
