wavelength_Q32,em_Q32,wavelength_Q33,em_Q33,wavelength_Q34,em_Q34,,,,,
691,0.12513,716,0.20475,760,0.27509,0.20475,,,,
692,0.13024,717,0.2049,761,0.30153,0.2049,,,,
693,0.14276,718,0.20852,762,0.32982,0.20852,,,,
694,0.15309,719,0.20896,763,0.35759,0.20896,,,,
695,0.16936,720,0.21436,764,0.38916,0.21436,,,,
696,0.18419,721,0.21831,765,0.42202,0.21831,,,,
697,0.20229,722,0.22216,766,0.46097,0.22216,,,,
698,0.22175,723,0.22844,767,0.49149,0.22844,,,,
699,0.24449,724,0.23243,768,0.52433,0.23243,,,,
700,0.26692,725,0.24007,769,0.56291,0.24007,,,,
701,0.29035,726,0.24582,770,0.59653,0.24582,,,,
702,0.31846,727,0.25054,771,0.63019,0.25054,,,,
703,0.34782,728,0.25691,772,0.6708,0.25691,,,,
704,0.3795,729,0.26457,773,0.70859,0.26457,,,,
705,0.41064,730,0.27283,774,0.74268,0.27283,,,,
706,0.44752,731,0.28328,775,0.77605,0.28328,,,,
707,0.48109,732,0.28841,776,0.81091,0.28841,,,,
708,0.51991,733,0.29957,777,0.84382,0.29957,,,,
709,0.55261,734,0.30516,778,0.86908,0.30516,,,,
710,0.59238,735,0.31031,779,0.89269,0.31031,,,,
711,0.62532,736,0.32015,780,0.92293,0.32015,,,,
712,0.66448,737,0.32798,781,0.94083,0.32798,,,,
713,0.69801,738,0.33223,782,0.96069,0.33223,,,,
714,0.72697,739,0.33513,783,0.97656,0.33513,,,,
715,0.76081,740,0.34418,784,9.84E-01,0.34418,,,,
716,0.78628,741,0.34697,785,9.91E-01,0.34697,,,,
717,0.81988,742,0.34601,786,9.91E-01,0.34601,,,,
718,0.83674,743,0.34967,787,1.00E+00,0.34967,,,,
719,0.86459,744,0.35478,788,9.95E-01,0.35478,,,,
720,0.88709,745,0.35319,789,9.87E-01,0.35319,,,,
721,0.90328,746,0.34968,790,9.84E-01,0.34968,,,,
722,0.91779,747,0.34673,791,9.69E-01,0.34673,,,,
723,0.93435,748,0.34554,792,9.54E-01,0.34554,,,,
724,0.95468,749,0.34391,793,9.36E-01,0.34391,,,,
725,0.96033,750,0.33926,794,9.19E-01,0.33926,,,,
726,0.9739,751,0.33335,795,8.95E-01,0.33335,,,,
727,0.97843,752,0.32727,796,8.74E-01,0.32727,,,,
728,0.98268,753,0.31721,797,8.60E-01,0.31721,,,,
729,0.98662,754,0.31247,798,8.32E-01,0.31247,,,,
730,0.99152,755,0.30657,799,8.08E-01,0.30657,,,,
731,0.98947,756,0.29134,800,7.84E-01,0.29134,,,,
732,9.98E-01,757,0.28544,801,7.56E-01,0.28544,,,,
733,1.00E+00,758,0.27595,802,7.39E-01,0.27595,,,,
734,9.93E-01,759,0.261,803,7.17E-01,2.61E-01,,,,
735,9.85E-01,760,0.252,804,6.86E-01,2.52E-01,,,,
736,9.81E-01,761,0.243,805,0.66275,2.43E-01,,,,
737,9.78E-01,762,0.229,806,0.64354,2.29E-01,,,,
738,9.75E-01,763,0.219,807,0.61504,2.19E-01,,,,
739,9.70E-01,764,0.21,808,0.59246,2.10E-01,,,,
740,9.52E-01,765,0.199,809,0.57127,1.99E-01,,,,
741,9.49E-01,766,0.186,810,0.5433,1.86E-01,,,,
742,9.38E-01,767,0.175,811,0.52769,1.75E-01,,,,
743,9.32E-01,768,0.166,812,0.50315,1.66E-01,,,,
744,9.21E-01,769,0.158,813,0.48458,1.58E-01,,,,
745,9.15E-01,770,0.148,814,0.46128,1.48E-01,,,,
746,9.03E-01,771,0.142,815,0.44878,1.42E-01,,,,
747,9.01E-01,772,0.132,816,0.42884,1.32E-01,,,,
748,8.98E-01,773,0.123,817,0.4087,1.23E-01,,,,
749,8.86E-01,774,0.116,818,0.39429,1.16E-01,,,,
750,8.83E-01,775,0.108,819,0.38172,1.08E-01,,,,
751,8.77E-01,776,0.0993,820,0.36364,9.93E-02,,,,
752,8.74E-01,777,0.0942,821,0.35277,9.42E-02,,,,
753,8.64E-01,778,0.0895,822,0.34214,8.95E-02,,,,
754,8.46E-01,779,0.0797,823,0.33064,7.97E-02,,,,
755,8.49E-01,780,0.0755,824,0.31505,7.55E-02,,,,
756,8.47E-01,781,0.071,825,0.30306,7.10E-02,,,,
757,8.33E-01,782,0.0662,826,0.29045,6.62E-02,,,,
758,8.34E-01,783,0.0615,827,0.27583,6.15E-02,,,,
759,8.23E-01,784,0.0588,828,0.26648,5.88E-02,,,,
760,8.21E-01,785,0.0546,829,0.25607,5.46E-02,,,,
761,8.09E-01,786,0.0532,830,0.2497,5.32E-02,,,,
762,8.08E-01,787,0.0513,831,0.23882,5.13E-02,,,,
763,8.00E-01,788,0.0442,832,0.22955,4.42E-02,,,,
764,7.98E-01,789,0.0439,833,0.22148,4.39E-02,,,,
765,7.87E-01,790,0.0383,834,0.21394,3.83E-02,,,,
766,0.79335,791,0.0374,835,0.20746,3.74E-02,,,,
767,0.78904,792,0.035998,836,0.19684,0.035998,,,,
768,0.78056,793,0.034,837,0.19447,0.034,,,,
769,0.7779,794,0.032511,838,0.18867,0.032511,,,,
770,0.77501,795,0.03043,839,0.17412,0.03043,,,,
771,0.76809,796,0.029783,840,0.17517,0.029783,,,,
772,0.76004,797,0.028997,841,0.17122,0.028997,,,,
773,0.76347,798,0.027235,842,0.16352,0.027235,,,,
774,0.75518,799,0.025211,843,0.16,0.025211,,,,
775,0.75692,800,0.02663,844,0.15449,0.02663,,,,
776,0.7585,801,0.023533,845,0.15281,0.023533,,,,
777,0.75359,802,0.023587,846,0.14359,0.023587,,,,
778,0.75271,803,0.023404,847,0.14244,0.023404,,,,
779,0.74908,804,0.020958,848,0.13383,0.020958,,,,
780,0.73612,805,0.023553,849,0.13709,0.023553,,,,
781,0.74202,806,0.019797,850,0.13272,0.019797,,,,
782,0.73571,807,0.021524,851,0.1282,0.021524,,,,
783,0.74191,808,0.020969,852,0.12928,0.020969,,,,
784,0.7488,809,0.019872,853,0.12498,0.019872,,,,
785,0.74727,810,0.020069,854,0.12364,0.020069,,,,
786,0.75591,811,0.019433,855,0.12221,0.019433,,,,
787,0.75345,812,0.018823,856,0.11796,0.018823,,,,
788,0.76049,813,0.017325,857,0.1201,0.017325,,,,
789,0.77116,814,0.016974,858,0.11742,0.016974,,,,
790,0.77275,815,0.016471,859,0.11331,0.016471,,,,
791,0.78628,816,0.017003,860,0.11166,0.017003,,,,
792,0.78798,817,0.016968,861,0.11289,0.016968,,,,
793,0.80612,818,0.014614,862,0.11031,0.014614,,,,
794,0.81351,819,0.012899,863,0.10937,0.012899,,,,
795,0.81352,820,0.015276,864,0.10664,0.015276,,,,
796,0.82454,821,0.014969,865,0.10737,0.014969,,,,
797,0.83501,822,0.016273,866,0.10619,0.016273,,,,
798,0.84238,823,0.015796,867,0.10574,0.015796,,,,
799,0.85113,824,0.016423,868,0.10788,0.016423,,,,
800,0.86472,825,0.014939,869,0.10657,0.014939,,,,
801,0.86586,826,0.015994,870,0.10283,0.015994,,,,
802,0.88156,827,0.014765,871,0.10344,0.014765,,,,
803,0.88656,828,0.014862,872,0.10157,0.014862,,,,
804,0.90296,829,0.013348,873,0.099061,0.013348,,,,
805,0.91428,830,0.012797,874,0.10098,0.012797,,,,
806,0.92083,831,0.012885,875,0.10118,0.012885,,,,
807,0.92533,832,0.012724,876,0.097736,0.012724,,,,
808,0.93088,833,0.012883,877,0.099305,0.012883,,,,
809,0.9395,834,0.011316,878,0.0967,0.011316,,,,
810,0.94594,835,0.0095645,879,0.096316,0.0095645,,,,
811,0.95285,836,0.01228,880,0.093352,0.01228,,,,
812,0.96328,837,0.013154,881,0.09384,0.013154,,,,
813,0.95104,838,0.010598,882,0.095028,0.010598,,,,
814,0.96062,839,0.011258,883,0.091493,0.011258,,,,
815,0.98205,840,0.010094,884,0.092142,0.010094,,,,
816,0.99316,841,0.010138,885,0.091734,0.010138,,,,
817,0.98842,842,0.0099107,886,0.091371,0.0099107,,,,
818,0.9828,843,0.009598,887,0.085662,0.009598,,,,
819,0.98559,844,0.0098498,888,0.087276,0.0098498,,,,
820,0.97824,845,0.007186,889,0.083693,0.007186,,,,
821,0.98314,846,0.0069843,890,0.080635,0.0069843,,,,
822,0.97586,847,0.0086995,891,0.084238,0.0086995,,,,
823,0.964,848,0.0088015,892,0.080317,0.0088015,,,,
824,0.96052,849,0.0090439,893,0.076071,0.0090439,,,,
825,0.96679,850,0.0064434,894,0.077471,0.0064434,,,,
826,0.96632,851,0.0069011,895,0.077114,0.0069011,,,,
827,0.95165,852,0.0059323,896,0.073324,0.0059323,,,,
828,0.92783,853,0.0063347,897,0.070874,0.0063347,,,,
829,0.91801,854,0.0047371,898,0.074511,0.0047371,,,,
830,0.90237,855,0.0069446,899,0.067457,0.0069446,,,,
831,0.91773,856,0.0061694,900,0.070776,0.0061694,,,,
832,0.89181,857,0.00513,901,0.067346,0.00513,,,,
833,0.8542,858,0.0044586,902,0.066749,0.0044586,,,,
834,0.84416,859,0.0054712,903,0.064913,0.0054712,,,,
835,0.83289,860,0.0042863,904,0.062422,0.0042863,,,,
836,0.8182,861,0.0049432,905,0.062358,0.0049432,,,,
837,0.80798,862,0.0035902,906,0.060229,0.0035902,,,,
838,0.78886,863,0.0062535,907,0.058215,0.0062535,,,,
839,0.78233,864,0.0037967,908,0.057605,0.0037967,,,,
840,0.75406,865,0.0056347,909,0.05424,0.0056347,,,,
841,0.73672,866,0.0030977,910,0.051324,0.0030977,,,,
842,0.70696,867,0.0034745,911,0.05062,0.0034745,,,,
843,0.68796,868,0.0027326,912,0.049488,0.0027326,,,,
844,0.6566,869,0.004605,913,0.05093,0.004605,,,,
845,0.65735,870,0.0034838,914,0.049281,0.0034838,,,,
846,0.61953,871,0.0026178,915,0.045286,0.0026178,,,,
847,0.61135,872,0.0016653,916,0.044979,0.0016653,,,,
848,0.58524,873,0.0027974,917,0.043573,0.0027974,,,,
849,0.58583,874,0.0029323,918,0.042649,0.0029323,,,,
850,0.55114,875,0.0012358,919,0.041988,0.0012358,,,,
851,0.53935,876,0.0011912,920,0.038921,0.0011912,,,,
852,0.51898,877,0.00066527,921,0.03661,0.00066527,,,,
853,0.49234,878,0.0019963,922,0.03738,0.0019963,,,,
854,0.48215,879,0.0016267,923,0.038486,0.0016267,,,,
855,0.45789,880,0.0022364,924,0.036629,0.0022364,,,,
856,0.43599,881,0.0020477,925,0.032257,0.0020477,,,,
857,0.42503,882,0.002937,926,0.035106,0.002937,,,,
858,0.40416,883,0.0012877,927,0.031466,0.0012877,,,,
859,0.39647,884,0.001238,928,0.030085,0.001238,,,,
860,0.37685,885,0.00067376,929,0.030572,0.00067376,,,,
861,0.35706,886,0.0000685,930,0.028949,6.85E-05,,,,
862,0.34279,887,0.00019297,931,0.031308,0.00019297,,,,
863,0.33293,888,0.0013861,932,0.029683,0.0013861,,,,
864,0.30972,889,0.0015758,933,0.027571,0.0015758,,,,
865,0.29981,890,0.00024961,934,0.024708,0.00024961,,,,
866,0.3019,891,0.00052011,935,0.024931,0.00052011,,,,
867,0.26804,892,0.0011506,936,0.024388,0.0011506,,,,
868,0.26114,893,0.0021561,937,0.023686,0.0021561,,,,
869,0.25552,894,0.00079735,938,0.023505,0.00079735,,,,
870,0.24229,895,0.00042681,939,0.020614,0.00042681,,,,
871,0.22533,896,0.001832,940,0.021617,0.001832,,,,
872,0.22409,897,0.00044961,941,0.019626,0.00044961,,,,
873,0.20408,898,0.001595,942,0.021697,0.001595,,,,
874,0.20357,899,0.0010378,943,0.017864,0.0010378,,,,
875,0.19429,900,0.0012412,944,0.020198,0.0012412,,,,
876,0.1821,,,945,0.018364,,,,,
877,0.17025,,,946,0.016909,,,,,
878,0.17168,,,947,0.018199,,,,,
879,0.16683,,,948,0.017695,,,,,
880,0.15389,,,949,0.016274,,,,,
881,0.14235,,,950,0.015157,,,,,
882,0.14313,,,951,0.013901,,,,,
883,0.13268,,,952,0.014717,,,,,
884,0.13065,,,953,0.014453,,,,,
885,0.12797,,,954,0.010942,,,,,
886,0.11998,,,955,0.011875,,,,,
887,0.11472,,,956,0.010146,,,,,
888,0.11016,,,957,0.012167,,,,,
889,0.11188,,,958,0.014052,,,,,
890,0.098245,,,959,0.014092,,,,,
891,0.098972,,,960,0.009107,,,,,
892,0.096765,,,961,0.010195,,,,,
893,0.086123,,,962,0.0097356,,,,,
894,0.093235,,,963,0.0093364,,,,,
895,0.088548,,,964,0.011549,,,,,
896,0.086907,,,965,0.01085,,,,,
897,0.083192,,,966,0.0068214,,,,,
898,0.075178,,,967,0.0097662,,,,,
899,0.072825,,,968,0.007744,,,,,
900,0.071571,,,969,0.0071884,,,,,
901,0.074554,,,970,0.008067,,,,,
902,0.066745,,,971,0.0070811,,,,,
903,0.068199,,,972,0.0079566,,,,,
904,0.059749,,,973,0.0064825,,,,,
905,0.061455,,,974,0.0043695,,,,,
906,0.064116,,,975,0.0060346,,,,,
907,0.061951,,,976,0.0065443,,,,,
908,0.060313,,,977,0.0062784,,,,,
909,0.058796,,,978,0.0081235,,,,,
910,0.057325,,,979,0.0060168,,,,,
911,0.058839,,,980,0.0063869,,,,,
912,0.057057,,,981,0.0039814,,,,,
913,0.051673,,,982,0.0038176,,,,,
914,0.049534,,,983,0.0034235,,,,,
915,0.050031,,,984,0.0035097,,,,,
916,0.054804,,,985,0.0041552,,,,,
917,0.052926,,,986,0.0033198,,,,,
918,0.041574,,,987,0.0043404,,,,,
919,0.048252,,,988,0.0035117,,,,,
920,0.047569,,,989,0.0062129,,,,,
921,0.049756,,,990,0.0040045,,,,,
922,0.050843,,,991,0.0028098,,,,,
923,0.046916,,,992,0.0024047,,,,,
924,0.05006,,,993,2.94E-05,,,,,
925,0.048447,,,994,0.0015798,,,,,
926,0.050046,,,995,0.00031686,,,,,
927,0.050211,,,996,0.0017366,,,,,
928,0.041099,,,997,0.00069514,,,,,
929,0.037597,,,998,0.004447,,,,,
930,0.049684,,,999,0.00014355,,,,,
931,0.043668,,,1000,0.0019031,,,,,
932,0.048028,,,,,,,,,
933,0.044747,,,,,,,,,
934,0.039006,,,,,,,,,
935,0.042579,,,,,,,,,
936,0.037432,,,,,,,,,
937,0.040858,,,,,,,,,
938,0.036684,,,,,,,,,
939,0.036829,,,,,,,,,
940,0.044452,,,,,,,,,
941,0.034989,,,,,,,,,
942,0.03646,,,,,,,,,
943,0.03621,,,,,,,,,
944,0.036,,,,,,,,,
945,0.030926,,,,,,,,,
946,0.031605,,,,,,,,,
947,0.03196,,,,,,,,,
948,0.035672,,,,,,,,,
949,0.034073,,,,,,,,,
950,0.037169,,,,,,,,,
951,0.029872,,,,,,,,,
952,0.030255,,,,,,,,,
953,0.028775,,,,,,,,,
954,0.030608,,,,,,,,,
955,0.025219,,,,,,,,,
956,0.025101,,,,,,,,,
957,0.027267,,,,,,,,,
958,0.023354,,,,,,,,,
959,0.027618,,,,,,,,,
960,0.02467,,,,,,,,,
961,0.021151,,,,,,,,,
962,0.019638,,,,,,,,,
963,0.029666,,,,,,,,,
964,0.020699,,,,,,,,,
965,0.020724,,,,,,,,,
966,0.023682,,,,,,,,,
967,0.020528,,,,,,,,,
968,0.018914,,,,,,,,,
969,0.019851,,,,,,,,,
970,0.016079,,,,,,,,,
971,0.017492,,,,,,,,,
972,0.017968,,,,,,,,,
973,0.016092,,,,,,,,,
974,0.018801,,,,,,,,,
975,0.01286,,,,,,,,,
976,0.012595,,,,,,,,,
977,0.015179,,,,,,,,,
978,0.010602,,,,,,,,,
979,0.013608,,,,,,,,,
980,0.0159,,,,,,,,,
981,0.0099811,,,,,,,,,
982,0.013759,,,,,,,,,
983,0.0080242,,,,,,,,,
984,0.012076,,,,,,,,,
985,0.0093654,,,,,,,,,
986,0.0093671,,,,,,,,,
987,0.0055042,,,,,,,,,
988,0.0053796,,,,,,,,,
989,0.0059046,,,,,,,,,
990,0.0107,,,,,,,,,
991,0.0079598,,,,,,,,,
992,0.012992,,,,,,,,,
993,0.00262,,,,,,,,,
994,0.005609,,,,,,,,,
995,0.0040369,,,,,,,,,
996,0.0080106,,,,,,,,,
997,0.0071698,,,,,,,,,
998,0.0076843,,,,,,,,,
999,0.0035014,,,,,,,,,
1000,0.0062537,,,,,,,,,
