Reaction,Substrate,Catalyst,Base,Solvent,Yield
115,Brc1cccnc1,empty,LiOTMS,DMSO,29.05130639
116,Brc1cccnc1,empty,LiOTMS,"1,4-Dioxane",31.8269629
117,Brc1cccnc1,empty,LiOTMS,t-AmOH,34.48736265
118,Brc1cccnc1,empty,LiOTMS,DMA,32.35110742
119,Brc1cccnc1,empty,LiOTMS,Toluene,33.47578924
120,Brc1cccnc1,empty,LiOTMS,2-Me-THF,30.74510341
121,Brc1cccnc1,empty,NaOtBu,DMSO,35.19760136
122,Brc1cccnc1,empty,NaOtBu,"1,4-Dioxane",37.97325787
123,Brc1cccnc1,empty,NaOtBu,t-AmOH,40.63365762
124,Brc1cccnc1,empty,NaOtBu,DMA,38.49740239
125,Brc1cccnc1,empty,NaOtBu,Toluene,39.62208422
126,Brc1cccnc1,empty,NaOtBu,2-Me-THF,36.89139839
127,Brc1cccnc1,empty,Cs2CO3,DMSO,35.33726165
128,Brc1cccnc1,empty,Cs2CO3,"1,4-Dioxane",38.11291816
129,Brc1cccnc1,empty,Cs2CO3,t-AmOH,40.77331792
130,Brc1cccnc1,empty,Cs2CO3,DMA,38.63706268
131,Brc1cccnc1,empty,Cs2CO3,Toluene,39.76174451
132,Brc1cccnc1,empty,Cs2CO3,2-Me-THF,37.03105868
133,Brc1cccnc1,empty,BTMG,DMSO,30.40721713
134,Brc1cccnc1,empty,BTMG,"1,4-Dioxane",33.18287364
135,Brc1cccnc1,empty,BTMG,t-AmOH,35.8432734
136,Brc1cccnc1,empty,BTMG,DMA,33.70701816
137,Brc1cccnc1,empty,BTMG,Toluene,34.83169999
138,Brc1cccnc1,empty,BTMG,2-Me-THF,32.10101416
139,Brc1cccnc1,empty,K3PO4,DMSO,30.70080301
140,Brc1cccnc1,empty,K3PO4,"1,4-Dioxane",33.47645952
141,Brc1cccnc1,empty,K3PO4,t-AmOH,36.13685927
142,Brc1cccnc1,empty,K3PO4,DMA,34.00060404
143,Brc1cccnc1,empty,K3PO4,Toluene,35.12528586
144,Brc1cccnc1,empty,K3PO4,2-Me-THF,32.39460003
145,Brc1cccnc1,xphos-pd-g4,P2Et,DMSO,39.89802307
146,Brc1cccnc1,xphos-pd-g4,P2Et,"1,4-Dioxane",42.67367958
147,Brc1cccnc1,xphos-pd-g4,P2Et,t-AmOH,45.33407934
148,Brc1cccnc1,xphos-pd-g4,P2Et,DMA,63.5
149,Brc1cccnc1,xphos-pd-g4,P2Et,Toluene,44.32250593
150,Brc1cccnc1,xphos-pd-g4,P2Et,2-Me-THF,41.5918201
151,Brc1cccnc1,xphos-pd-g4,LiOTMS,DMSO,34.42241078
152,Brc1cccnc1,xphos-pd-g4,LiOTMS,"1,4-Dioxane",37.19806729
153,Brc1cccnc1,xphos-pd-g4,LiOTMS,t-AmOH,39.85846704
154,Brc1cccnc1,xphos-pd-g4,LiOTMS,DMA,37.72221181
155,Brc1cccnc1,xphos-pd-g4,LiOTMS,Toluene,38.84689363
156,Brc1cccnc1,xphos-pd-g4,LiOTMS,2-Me-THF,36.1162078
157,Brc1cccnc1,xphos-pd-g4,NaOtBu,DMSO,40.56870575
158,Brc1cccnc1,xphos-pd-g4,NaOtBu,"1,4-Dioxane",77
159,Brc1cccnc1,xphos-pd-g4,NaOtBu,t-AmOH,46.00476201
160,Brc1cccnc1,xphos-pd-g4,NaOtBu,DMA,43.86850678
161,Brc1cccnc1,xphos-pd-g4,NaOtBu,Toluene,44.99318861
162,Brc1cccnc1,xphos-pd-g4,NaOtBu,2-Me-THF,42.26250278
163,Brc1cccnc1,xphos-pd-g4,Cs2CO3,DMSO,40.70836604
164,Brc1cccnc1,xphos-pd-g4,Cs2CO3,"1,4-Dioxane",43.48402255
165,Brc1cccnc1,xphos-pd-g4,Cs2CO3,t-AmOH,46.14442231
166,Brc1cccnc1,xphos-pd-g4,Cs2CO3,DMA,44.00816707
167,Brc1cccnc1,xphos-pd-g4,Cs2CO3,Toluene,45.1328489
168,Brc1cccnc1,xphos-pd-g4,Cs2CO3,2-Me-THF,42.40216307
169,Brc1cccnc1,xphos-pd-g4,BTMG,DMSO,35.77832152
170,Brc1cccnc1,xphos-pd-g4,BTMG,"1,4-Dioxane",38.55397803
171,Brc1cccnc1,xphos-pd-g4,BTMG,t-AmOH,41.21437779
172,Brc1cccnc1,xphos-pd-g4,BTMG,DMA,39.07812255
173,Brc1cccnc1,xphos-pd-g4,BTMG,Toluene,40.20280438
174,Brc1cccnc1,xphos-pd-g4,BTMG,2-Me-THF,37.47211855
175,Brc1cccnc1,xphos-pd-g4,K3PO4,DMSO,36.0719074
176,Brc1cccnc1,xphos-pd-g4,K3PO4,"1,4-Dioxane",38.84756391
177,Brc1cccnc1,xphos-pd-g4,K3PO4,t-AmOH,41.50796366
178,Brc1cccnc1,xphos-pd-g4,K3PO4,DMA,39.37170843
179,Brc1cccnc1,xphos-pd-g4,K3PO4,Toluene,40.49639025
180,Brc1cccnc1,xphos-pd-g4,K3PO4,2-Me-THF,37.76570442
181,Brc1cccnc1,brettphos-pd-g4,P2Et,DMSO,38.1481069
182,Brc1cccnc1,brettphos-pd-g4,P2Et,"1,4-Dioxane",40.92376341
183,Brc1cccnc1,brettphos-pd-g4,P2Et,t-AmOH,59.54166667
184,Brc1cccnc1,brettphos-pd-g4,P2Et,DMA,73
185,Brc1cccnc1,brettphos-pd-g4,P2Et,Toluene,42.57258976
186,Brc1cccnc1,brettphos-pd-g4,P2Et,2-Me-THF,39.84190393
187,Brc1cccnc1,brettphos-pd-g4,LiOTMS,DMSO,32.67249461
188,Brc1cccnc1,brettphos-pd-g4,LiOTMS,"1,4-Dioxane",35.44815112
189,Brc1cccnc1,brettphos-pd-g4,LiOTMS,t-AmOH,38.10855087
190,Brc1cccnc1,brettphos-pd-g4,LiOTMS,DMA,35.97229564
191,Brc1cccnc1,brettphos-pd-g4,LiOTMS,Toluene,37.09697746
192,Brc1cccnc1,brettphos-pd-g4,LiOTMS,2-Me-THF,34.36629163
193,Brc1cccnc1,brettphos-pd-g4,NaOtBu,DMSO,38.81878958
194,Brc1cccnc1,brettphos-pd-g4,NaOtBu,"1,4-Dioxane",41.59444609
195,Brc1cccnc1,brettphos-pd-g4,NaOtBu,t-AmOH,43
196,Brc1cccnc1,brettphos-pd-g4,NaOtBu,DMA,42.11859061
197,Brc1cccnc1,brettphos-pd-g4,NaOtBu,Toluene,43.24327244
198,Brc1cccnc1,brettphos-pd-g4,NaOtBu,2-Me-THF,40.51258661
199,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,DMSO,38.95844987
200,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,"1,4-Dioxane",41.73410638
201,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,t-AmOH,44.39450614
202,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,DMA,42.2582509
203,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,Toluene,43.38293273
204,Brc1cccnc1,brettphos-pd-g4,Cs2CO3,2-Me-THF,40.6522469
205,Brc1cccnc1,brettphos-pd-g4,BTMG,DMSO,34.02840535
206,Brc1cccnc1,brettphos-pd-g4,BTMG,"1,4-Dioxane",36.80406186
207,Brc1cccnc1,brettphos-pd-g4,BTMG,t-AmOH,39.46446161
208,Brc1cccnc1,brettphos-pd-g4,BTMG,DMA,37.32820638
209,Brc1cccnc1,brettphos-pd-g4,BTMG,Toluene,38.45288821
210,Brc1cccnc1,brettphos-pd-g4,BTMG,2-Me-THF,35.72220238
211,Brc1cccnc1,brettphos-pd-g4,K3PO4,DMSO,34.32199123
212,Brc1cccnc1,brettphos-pd-g4,K3PO4,"1,4-Dioxane",37.09764774
213,Brc1cccnc1,brettphos-pd-g4,K3PO4,t-AmOH,39.75804749
214,Brc1cccnc1,brettphos-pd-g4,K3PO4,DMA,37.62179226
215,Brc1cccnc1,brettphos-pd-g4,K3PO4,Toluene,38.74647408
216,Brc1cccnc1,brettphos-pd-g4,K3PO4,2-Me-THF,36.01578825
217,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,DMSO,15.91502233
218,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,"1,4-Dioxane",21.57789184
219,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,t-AmOH,24.2382916
220,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,DMA,22.10203636
221,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,Toluene,23.22671819
222,Brc1cccnc1,xphos-pd-g3-triflate,P2Et,2-Me-THF,20.49603236
223,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,DMSO,13.32662304
224,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",16.10227955
225,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,t-AmOH,18.7626793
226,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,DMA,16.62642407
227,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,Toluene,17.75110589
228,Brc1cccnc1,xphos-pd-g3-triflate,LiOTMS,2-Me-THF,15.02042006
229,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,DMSO,19.47291801
230,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",22.24857452
231,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,t-AmOH,24.90897427
232,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,DMA,22.77271904
233,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,Toluene,23.89740087
234,Brc1cccnc1,xphos-pd-g3-triflate,NaOtBu,2-Me-THF,21.16671504
235,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,DMSO,19.6125783
236,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",22.38823481
237,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,t-AmOH,25.04863457
238,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,DMA,22.91237933
239,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,Toluene,24.03706116
240,Brc1cccnc1,xphos-pd-g3-triflate,Cs2CO3,2-Me-THF,21.30637533
241,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,DMSO,17.9280517
242,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,"1,4-Dioxane",17.45819029
243,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,t-AmOH,20.11859005
244,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,DMA,17.98233481
245,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,Toluene,19.10701664
246,Brc1cccnc1,xphos-pd-g3-triflate,BTMG,2-Me-THF,16.37633081
247,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,DMSO,14.97611966
248,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",17.75177617
249,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,t-AmOH,20.41217592
250,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,DMA,18.27592069
251,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,Toluene,19.40060251
252,Brc1cccnc1,xphos-pd-g3-triflate,K3PO4,2-Me-THF,16.66991668
253,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,DMSO,26.07394797
254,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,"1,4-Dioxane",34.92203318
255,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,t-AmOH,37.58243293
256,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,DMA,35.4461777
257,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,Toluene,36.57085952
258,Brc1cccnc1,adbrettphos-pd-g3-triflate,P2Et,2-Me-THF,33.84017369
259,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,DMSO,26.67076437
260,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,"1,4-Dioxane",29.44642088
261,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,t-AmOH,32.10682063
262,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,DMA,29.9705654
263,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,Toluene,31.09524723
264,Brc1cccnc1,adbrettphos-pd-g3-triflate,LiOTMS,2-Me-THF,28.3645614
265,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,DMSO,32.81705934
266,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,"1,4-Dioxane",35.59271585
267,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,t-AmOH,38.25311561
268,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,DMA,36.11686037
269,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,Toluene,37.2415422
270,Brc1cccnc1,adbrettphos-pd-g3-triflate,NaOtBu,2-Me-THF,34.51085637
271,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,DMSO,32.95671964
272,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,"1,4-Dioxane",35.73237615
273,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,t-AmOH,38.3927759
274,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,DMA,36.25652067
275,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,Toluene,37.38120249
276,Brc1cccnc1,adbrettphos-pd-g3-triflate,Cs2CO3,2-Me-THF,34.65051666
277,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,DMSO,45.12795538
278,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,"1,4-Dioxane",30.80233163
279,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,t-AmOH,33.46273138
280,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,DMA,31.32647614
281,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,Toluene,32.45115797
282,Brc1cccnc1,adbrettphos-pd-g3-triflate,BTMG,2-Me-THF,29.72047214
283,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,DMSO,28.32026099
284,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,"1,4-Dioxane",31.0959175
285,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,t-AmOH,33.75631725
286,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,DMA,31.62006202
287,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,Toluene,32.74474384
288,Brc1cccnc1,adbrettphos-pd-g3-triflate,K3PO4,2-Me-THF,30.01405801
289,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,DMSO,10.42478067
290,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,"1,4-Dioxane",13.20043718
291,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,t-AmOH,15.86083693
292,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,DMA,13.7245817
293,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,Toluene,14.84926353
294,Brc1ccc2ncccc2c1,cphos-pd-g4,P2Et,2-Me-THF,12.1185777
295,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,DMSO,4.949168376
296,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,"1,4-Dioxane",7.724824887
297,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,t-AmOH,10.38522464
298,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,DMA,8.248969406
299,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,Toluene,9.373651232
300,Brc1ccc2ncccc2c1,cphos-pd-g4,LiOTMS,2-Me-THF,6.642965401
301,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,DMSO,11.09546335
302,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,"1,4-Dioxane",13.87111986
303,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,t-AmOH,16.53151961
304,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,DMA,14.39526438
305,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,Toluene,15.5199462
306,Brc1ccc2ncccc2c1,cphos-pd-g4,NaOtBu,2-Me-THF,12.78926037
307,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,DMSO,11.23512364
308,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,"1,4-Dioxane",14.01078015
309,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,t-AmOH,16.6711799
310,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,DMA,14.53492467
311,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,Toluene,15.6596065
312,Brc1ccc2ncccc2c1,cphos-pd-g4,Cs2CO3,2-Me-THF,12.92892067
313,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,DMSO,6.305079119
314,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,"1,4-Dioxane",9.08073563
315,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,t-AmOH,11.74113538
316,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,DMA,9.60488015
317,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,Toluene,10.72956197
318,Brc1ccc2ncccc2c1,cphos-pd-g4,BTMG,2-Me-THF,7.998876145
319,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,DMSO,6.598664994
320,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,"1,4-Dioxane",9.374321505
321,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,t-AmOH,12.03472126
322,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,DMA,9.898466025
323,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,Toluene,11.02314785
324,Brc1ccc2ncccc2c1,cphos-pd-g4,K3PO4,2-Me-THF,8.29246202
325,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,DMSO,18.50824882
326,Brc1ccc2ncccc2c1,ruphos-pd-g4,P2Et,"1,4-Dioxane",21.28390534
